participant_id,participant_longitude,participant_latitude,participant_zip_code,participant_city,participant_state,age,gender,hispanic_or_latino,race,race_self_identify_text,education_level,languages_home,languages_home_other,last_flood_experience,flood_preparation_actions,flood_response_actions,flood_map_experience,flood_map_experience_other,selected_folder,selected_image,image_longitude,image_latitude,image_zip_code,image_city,image_state,flood_risk_severity,flood_frequency,flood_risk_understanding,confidence_in_map,likely_to_buy_property,likely_to_rent_property,likely_to_buy_insurance,likely_to_take_preventive_actions,use_flood_maps_frequency,ease_of_interpretation,additional_comments
006,-80.0491,26.7158,46143,Greenwood,Indiana,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2014,"Moved belongings to higher ground,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities","Yes, academically (e.g., as part of a course or research project) ",,noaa,location_221,-122.586455,48.844629,98248,Ferndale,Washington,Low,once every 3 years,Very well,Very confident,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Very likely,Sometimes,Somewhat easy,none
006,-80.0491,26.7158,46143,Greenwood,Indiana,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2014,"Moved belongings to higher ground,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities","Yes, academically (e.g., as part of a course or research project) ",,noaa,location_253,-81.08109,28.7362,32732,Geneva,Florida,Low,once every 1 year,Very well,Somewhat confident,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Sometimes,Somewhat easy,none
007,-97.822,37.751,30263,Newnan,Georgia,35 to 44   ,Male,No,White ,,Master’s degree  ,English ,,2020,"Stocked up on food, water, and emergency supplies",Contacted emergency services or authorities,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_8,-123.116557,38.97127,95449,Hopland,California,High,3,Moderately well,Slightly confident,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Often,Somewhat difficult,very useful
007,-97.822,37.751,30263,Newnan,Georgia,35 to 44   ,Male,No,White ,,Master’s degree  ,English ,,2020,"Stocked up on food, water, and emergency supplies",Contacted emergency services or authorities,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_177,-81.8041808,41.3740394,44130,Middleburg Heights,Ohio,High,5,Slightly well,Very confident,Very likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Always,Somewhat difficult,nice
008,-97.822,37.751,75070,Mc Kinney,Texas,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_150,-75.7964387,41.3245232,18643,West Pittston,Pennsylvania,High,one year,Very well,Extremely confident,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,Always,Extremely difficult,
008,-97.822,37.751,75070,Mc Kinney,Texas,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_256,-81.31143,28.57059,32814,Orlando,Florida,High,2 years,Very well,Extremely confident,Very likely,Somewhat likely,Somewhat likely,Very likely,Always,Somewhat difficult,
009,-76.6416,39.2869,14610,Rochester,New York,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2018,"Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Moved to a shelter or safe location,Assisted neighbors or community members","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_175,-95.1155433,29.5067404,77573,League City,Texas,High,once every year,Very well,Slightly confident,Very likely,Very likely,Very likely,Somewhat likely,Always,Somewhat easy,nice
009,-76.6416,39.2869,14610,Rochester,New York,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2018,"Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Moved to a shelter or safe location,Assisted neighbors or community members","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_194,-87.2003981,41.3339124,46341,Hebron,Indiana,High,every year,Very well,Not at all confident,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Rarely,Somewhat difficult,
010,-97.822,37.751,75025,Plano,Texas,25 to 34   ,Male,Yes,American Indian or Alaska Native  ,,Bachelor’s degree (4-year college)  ,English ,,2020,Secured important documents and valuables,Used a generator or backup power supply,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_89,-77.2565855,38.9080949,22180,Vienna,Virginia,High,2year,Very well,Very confident,Very likely,Somewhat likely,Somewhat likely,Very likely,Always,Somewhat easy,
010,-97.822,37.751,75025,Plano,Texas,25 to 34   ,Male,Yes,American Indian or Alaska Native  ,,Bachelor’s degree (4-year college)  ,English ,,2020,Secured important documents and valuables,Used a generator or backup power supply,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_206,-95.410548,30.040159,77373,Spring,Texas,High,1year,Extremely well,Very confident,Very likely,Very likely,Somewhat likely,Very likely,Always,Somewhat easy,
011,-97.822,37.751,90001,Los Angeles,California,35 to 44   ,Male,Yes,Black or African American  ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ,Chinese (Mandarin or Cantonese) ,Tagalog ,Vietnamese ,French ,Korean ,Arabic ,Russian ",,2011,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas,Did not take any action to respond","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_88,-117.9275967,33.6364061,92627,Costa Mesa,California,Moderate,4,Moderately well,Slightly confident,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Sometimes,Somewhat easy,good
011,-97.822,37.751,90001,Los Angeles,California,35 to 44   ,Male,Yes,Black or African American  ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ,Chinese (Mandarin or Cantonese) ,Tagalog ,Vietnamese ,French ,Korean ,Arabic ,Russian ",,2011,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas,Did not take any action to respond","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_173,-84.2455372,43.6120374,48640,Midland,Michigan,Moderate,2,Moderately well,Somewhat confident,Neither likely nor unlikely,Very likely,Somewhat likely,Very likely,Often,Somewhat easy,good
012,-122.3004,47.4902,99950,Ketchikan,Alaska,35 to 44   ,Male,Yes,American Indian or Alaska Native  ,,Master’s degree  ,English ,,2013,"Stocked up on food, water, and emergency supplies,Moved belongings to higher ground,Installed flood barriers or sandbags","Moved to a shelter or safe location,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,fema,location_76,-90.627062,38.49975,63025,Eureka,Missouri,High,2,Very well,Very confident,Very likely,Somewhat likely,Very likely,Very likely,Always,Somewhat easy,yes
012,-122.3004,47.4902,99950,Ketchikan,Alaska,35 to 44   ,Male,Yes,American Indian or Alaska Native  ,,Master’s degree  ,English ,,2013,"Stocked up on food, water, and emergency supplies,Moved belongings to higher ground,Installed flood barriers or sandbags","Moved to a shelter or safe location,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,fema,location_130,-91.5103087,34.9786549,72040,Des Arc,Arkansas,High,3,Very well,Slightly confident,Very likely,Very likely,Somewhat likely,Very likely,Always,Somewhat easy,yes
013,-97.822,37.751,10001,New York City,New York,18 to 24   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_154,-82.8870801,32.5306263,31027,Dublin,Georgia,Very High,every year,Extremely well,Very confident,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Often,Somewhat difficult,good
013,-97.822,37.751,10001,New York City,New York,18 to 24   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_16,-90.340302,38.924242,63373,Portage de Sioux,Missouri,High,every year,Extremely well,Very confident,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Often,Somewhat difficult,good
014,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Evacuated from the area,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_71,-90.433982,38.969141,62037,Grafton,Illinois,Very High,one year,Moderately well,Extremely confident,Very likely,Somewhat likely,Neither likely nor unlikely,Very likely,Often,Neither easy nor difficult,nice
014,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Evacuated from the area,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_170,-91.0422687,41.0974532,52646,Oakville,Iowa,High,two year,Extremely well,Extremely confident,Somewhat likely,Very likely,Neither likely nor unlikely,Very likely,Often,Neither easy nor difficult,good
015,-77.4903,39.0469,10001,New York City,New York,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","No, I do not have any previous experience ",,climate_central,location_30,-96.776643,46.872937,56562,Moorhead,Minnesota,Very Low,NO,Extremely well,Extremely confident,Very likely,Very likely,Somewhat likely,Somewhat likely,Sometimes,Extremely easy,NO
015,-77.4903,39.0469,10001,New York City,New York,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","No, I do not have any previous experience ",,climate_central,location_137,-95.4890741,29.9483587,77066,Houston,Texas,Very Low,NO,Extremely well,Extremely confident,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Sometimes,Extremely easy,NO
016,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags","Assisted neighbors or community members,Relocated valuables to safer areas","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_159,-79.143191,34.2300733,29581,Nichols,South Carolina,Moderate,1,Slightly well,Very confident,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat easy,nice
016,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags","Assisted neighbors or community members,Relocated valuables to safer areas","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_141,-74.110511,40.8659063,7026,Garfield,New Jersey,Moderate,1,Moderately well,Somewhat confident,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Rarely,Somewhat difficult,nice
017,-97.822,37.751,46201,Indianapolis,Indiana,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,noaa,location_217,-95.162362,29.515051,77546,Houston,Texas,Moderate,2,Moderately well,Slightly confident,Somewhat unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Rarely,Extremely difficult,
017,-97.822,37.751,46201,Indianapolis,Indiana,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,noaa,location_154,-82.8870801,32.5306263,31027,Dublin,Georgia,Low,5,Moderately well,Slightly confident,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Rarely,Neither easy nor difficult,
018,-97.822,37.751,20120,Centreville,Virginia,18 to 24   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2022,Created an emergency plan with family or household members,Assisted neighbors or community members,"Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_181,-88.0816731,30.6746659,36606,Mobile,Alabama,Very Low,one year,Moderately well,Extremely confident,Somewhat likely,Very likely,Very likely,Very likely,Always,Extremely difficult,very nice
018,-97.822,37.751,20120,Centreville,Virginia,18 to 24   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2022,Created an emergency plan with family or household members,Assisted neighbors or community members,"Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_124,-121.2238667,38.4086426,95693,Wilton,California,Moderate,one year,Very well,Very confident,Somewhat unlikely,Somewhat likely,Very likely,Very likely,Always,Neither easy nor difficult,very nice
019,-97.822,37.751,95833,Sacramento,California,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2019,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_22,-86.292323,36.209312,37087,Lebanon,Tennessee,Moderate,ONCE IN EVERY 5 YEARS,Moderately well,Very confident,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat likely,Sometimes,Somewhat easy,IT IS MORE VISUALLY
019,-97.822,37.751,95833,Sacramento,California,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2019,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_244,-85.759443,38.258727,40202,Louisville,Kentucky,Very Low,VERY RARE IN EVERY 25 YEARS,Slightly well,Somewhat confident,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Sometimes,Somewhat easy,IT JUST SHOW THE RIVER ONLY NOT IN FLOODED AREA SO SLIGHTLY COMPLICATED TO GUESS WHEN THE FLOOD OCCUR.
020,-97.822,37.751,18301,East Stroudsburg,Pennsylvania,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2017,"Secured important documents and valuables,Moved belongings to higher ground,Monitored weather reports and flood warnings","Moved to a shelter or safe location,Used a generator or backup power supply,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,noaa,location_131,-84.16422,36.7293576,40769,Williamsburg,Kentucky,High,3,Very well,Very confident,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Often,Extremely easy,not that much risky
020,-97.822,37.751,18301,East Stroudsburg,Pennsylvania,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2017,"Secured important documents and valuables,Moved belongings to higher ground,Monitored weather reports and flood warnings","Moved to a shelter or safe location,Used a generator or backup power supply,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,noaa,location_254,-81.8584,26.64797,33916,Fort Myers,Florida,Moderate,5,Very well,Very confident,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Often,Somewhat easy,GOOD AND KNOWLEDABLE 
021,-96.805,32.7767,30363,Atlanta,Georgia,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2022,"Secured important documents and valuables,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Assisted neighbors or community members,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,fema,location_179,-79.0465574,33.8530997,29562,Conway,South Carolina,High,once every 5 years,Moderately well,Very confident,Somewhat unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat unlikely,Sometimes,Somewhat easy,
021,-96.805,32.7767,30363,Atlanta,Georgia,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2022,"Secured important documents and valuables,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Assisted neighbors or community members,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,fema,location_4,-90.182221,38.629754,63102,St Louis,Missouri,Moderate,once every 2 years,Moderately well,Slightly confident,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Never,Neither easy nor difficult,
022,-75.1058,39.9387,60478,Country Club Hills,Illinois,45 to 54   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Created an emergency plan with family or household members","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_25,-95.476189,29.670103,77096,Houston,Texas,Moderate,5,Moderately well,Very confident,Neither likely nor unlikely,Neither likely nor unlikely,Very likely,Very likely,Often,Neither easy nor difficult,no
022,-75.1058,39.9387,60478,Country Club Hills,Illinois,45 to 54   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Created an emergency plan with family or household members","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_258,-81.264949,28.813601,32771,Sanford,Florida,Moderate,10,Very well,Very confident,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Often,Neither easy nor difficult,no
023,-77.2481,38.6583,28790,Zirconia,North Carolina,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2016,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Moved to a shelter or safe location,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_14,-79.028193,34.315901,28439,Fair Bluff,North Carolina,High,once every 2 year,Very well,Extremely confident,Very likely,Somewhat likely,Neither likely nor unlikely,Very likely,Sometimes,Somewhat easy,
023,-77.2481,38.6583,28790,Zirconia,North Carolina,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2016,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Moved to a shelter or safe location,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_125,-123.0108092,38.4677471,95462,Monte Rio,California,High,every year,Very well,Extremely confident,Somewhat likely,Very likely,Somewhat likely,Very likely,Often,Somewhat easy,
